country,epgshare_id,epgshare_name,candidate_tvg_id,candidate_key,score
uk,Sky.One.HD.uk,Sky One HD,SkyNewsWeather.uk@SD,skynewsweather,81.81818181818181
uk,WION.HD.uk,WION HD,BeyondBeliefFactorFiction.us@UK,beyondbelieffactorfiction,77.14285714285715
uk,Adult.Channel.uk,Adult Channel,ChannelS.uk@SD,channels,84.0
uk,E4.Extra.uk,E4 Extra,QVCExtra.uk@SD,qvcextra,66.66666666666667
uk,TNT.Sports.4.HD.uk,TNT Sports 4 HD,S4C.uk@SD,s4c,72.0
uk,BBC.R.Cymru.uk,BBC R Cymru,BBCUHD1.uk@SD,bbc1,77.14285714285715
uk,Food.Network.uk,Food Network,MyTimeMovieNetwork.uk@SD,mytimemovienetwork,70.00000000000001
uk,TNT.Sports.8.HD.uk,TNT Sports 8 HD,TBNUK.uk@SD,tbn,72.0
uk,BBC.R.Cymru.2.uk,BBC R Cymru 2,BBCUHD1.uk@SD,bbc1,77.14285714285715
uk,STV.North.uk,STV North,BBCTwo.uk@NorthernIreland,bbctwonorthernireland,67.5
uk,LBC.uk,LBC,BBCThreeCBBC.uk@HD,bbcthreecbbc,72.0
uk,TNT.Sports.7.HD.uk,TNT Sports 7 HD,TBNUK.uk@SD,tbn,72.0
uk,TNT.Sport.BoxOffice.HD.uk,TNT Sport BoxOffice HD,TBNUK.uk@SD,tbn,72.0
uk,Iran.Intl.HD.uk,Iran Intl HD,IranInternational.uk@SD,iraninternational,84.0
uk,ITV4.HD.uk,ITV4 HD,KanshiTV.uk@SD,kanshitv,77.14285714285715
uk,PCNE.Chinese.HD.uk,PCNE Chinese HD,CNBCUK.uk@SD,cnbc,67.5
uk,PCNE.Chinese.uk,PCNE Chinese,CNBCUK.uk@SD,cnbc,67.5
uk,Good.News.TV.uk,Good News TV,GODTV.uk@SD,godtv,66.66666666666667
uk,SkySp.F1.HD.uk,SkySp F1 HD,SkySportsCricket.uk@HD,skysportscricket,75.00000000000001
uk,TNT.Sports.Box.Office.2.uk,TNT Sports Box Office 2,TBNUK.uk@SD,tbn,72.0
uk,Sky.History+1.uk,Sky History+1,AutenticHistory.de@SD,autentichistory,74.11764705882352
