country,epgshare_id,epgshare_name
uk,U.and.YESTERDAY+1.uk,U and YESTERDAY+1
uk,PTC.PUNJABI.uk,PTC PUNJABI
uk,Disc.Turbo.uk,Disc.Turbo
uk,ColorsGujarati.uk,ColorsGujarati
uk,High.Street.TV.3.uk,High Street TV 3
uk,Cartoon.Netwrk.uk,Cartoon Netwrk
uk,Planet.Rock.uk,Planet Rock
uk,Heart.Dance.uk,Heart Dance
uk,Disc.Sci+1.uk,Disc.Sci+1
uk,DAYSTAR.HD.uk,DAYSTAR HD
uk,Panjab.Radio.uk,Panjab Radio
uk,U.and.YESTERDAY.uk,U and YESTERDAY
uk,XXXpublicpikups.uk,XXXpublicpikups
uk,ComedyCentral.uk,ComedyCentral
uk,Studio.66.3.uk,Studio 66 3
uk,Sky.Atlantic.HD.uk,Sky Atlantic HD
uk,U.and.Dave.ja.vu.uk,U and Dave ja vu
uk,SONY.MAX.HD.uk,SONY MAX HD
uk,E4+1.uk,E4+1
uk,SkySp.Fball.uk,SkySp Fball
uk,Sky.Sports.Ultra.HD.2.uk,Sky Sports Ultra HD 2
uk,SONY.MAX.2.uk,SONY MAX 2
uk,SkySp.Fball.HD.uk,SkySp Fball HD
uk,SkySpBoxOff.uk,SkySpBoxOff
uk,Sky.Sports.Ultra.HD.1.uk,Sky Sports Ultra HD 1
uk,Sukh.Sagar.uk,Sukh Sagar
uk,CNN.uk,CNN
uk,Live.360.uk,Live 360
uk,SkySp.ActionHD.uk,SkySp ActionHD
uk,XXX.Mums.uk,XXX Mums
uk,Sky.Documentaries.HD.uk,Sky Documentaries HD
uk,SkyPremiere+1.uk,SkyPremiere+1
uk,Absolute.90s.uk,Absolute 90s
uk,Euronews.uk,Euronews
uk,Bloomberg.HD.uk,Bloomberg HD
uk,Nat.Geo.HD.uk,Nat Geo HD
uk,Virgin.Radio.uk,Virgin Radio
uk,U.and.Dave.HD.uk,U and Dave HD
uk,Disc.Turbo+1.uk,Disc.Turbo+1
uk,Kerrang!.uk,Kerrang!
uk,Hits.Radio.uk,Hits Radio
uk,SonLife.uk,SonLife
uk,Foodxp.uk,Foodxp
uk,SONY.SAB.uk,SONY SAB
uk,Disney+CineHD.uk,Disney+CineHD
uk,JewelleryMaker.uk,JewelleryMaker
uk,High.Street.TV.4.uk,High Street TV 4
uk,Court.TV.uk,Court TV
uk,SkySp.Racing.HD.uk,SkySp Racing HD
uk,Capital.uk,Capital
uk,Legend.uk,Legend
uk,TVX.40+.uk,TVX 40+
uk,Gemporia.Craft.uk,Gemporia Craft
uk,ComedyCent+1.uk,ComedyCent+1
uk,STV.Central.+1.uk,STV Central +1
uk,RTÉ.Radio.1.uk,RTÉ Radio 1
uk,Best.Direct.uk,Best Direct
uk,Nick.Jr..Too.uk,Nick Jr. Too
uk,Cartoon.Net.HD.uk,Cartoon Net HD
uk,Khushkhabri.uk,Khushkhabri
uk,Sky.Sci-Fi.HD.uk,Sky Sci-Fi HD
uk,EWTN.Catholic.uk,EWTN Catholic
uk,Sky.Atlantic+1.uk,Sky Atlantic+1
uk,U.and.Eden+1.uk,U and Eden+1
uk,Sky.Premiere.uk,Sky Premiere
uk,Animal.Plnt+1.uk,Animal Plnt+1
uk,Sky.Sports.NFL.uk,Sky Sports NFL
uk,DMAX.uk,DMAX
uk,Islam.Ch.Urdu.uk,Islam Ch Urdu
uk,Hidayat.TV.uk,Hidayat TV
uk,U.and.Transport.uk,U and Transport
uk,Sky.Greats.HD.uk,Sky Greats HD
uk,Thats.Dance.uk,Thats Dance
uk,Create.and.CraftHD.uk,Create and CraftHD
uk,Animal.Planet.uk,Animal Planet
uk,NatGeoWild.HD.uk,NatGeoWild HD
uk,Sky.Valentine.uk,Sky Valentine
uk,HUM.Masala.uk,HUM Masala
uk,Virgin.Media.One.+1.uk,Virgin Media One +1
uk,SkyPremiereHD.uk,SkyPremiereHD
uk,Virgin.Media.Two.HD.uk,Virgin Media Two HD
uk,ComedyCentHD.uk,ComedyCentHD
uk,RTÉ.Lyric.fm.uk,RTÉ Lyric fm
uk,WRN.Europe.uk,WRN Europe
uk,DMAX+1.uk,DMAX+1
uk,British.Muslim.uk,British Muslim
uk,E4.HD.uk,E4 HD
uk,Get.Lucky.TV.uk,Get Lucky TV
uk,Disc.Science.uk,Disc.Science
uk,Sky.ScFi/HorHD.uk,Sky ScFi/HorHD
uk,Sky.Comedy.HD.uk,Sky Comedy HD
uk,Quest.Red+1.uk,Quest Red+1
uk,CBS.Justice.uk,CBS Justice
uk,Premier.Sports.2.HD.uk,Premier Sports 2 HD
uk,STV.North.+1.uk,STV North +1
uk,Spider-Man.HD.uk,Spider-Man HD
uk,CNN.HD.uk,CNN HD
uk,XXX.College.uk,XXX College
uk,Television.X.uk,Television X
uk,U.and.Laughs.uk,U and Laughs
uk,U.and.The.Past.uk,U and The Past
uk,XXX.Girl.Girl.uk,XXX Girl Girl
uk,BFBS.Radio.uk,BFBS Radio
uk,SkySp.Tennis.HD.uk,SkySp Tennis HD
uk,Sky.Sports.Football.HD.uk,Sky Sports Football HD
uk,U.and.GOLD+1.uk,U and GOLD+1
uk,Challenge.uk,Challenge
uk,Sky.Replay.uk,Sky Replay
uk,U.and.GOLD.HD.uk,U and GOLD HD
uk,ColorsCineplex.uk,ColorsCineplex
uk,Heart.90s.uk,Heart 90s
uk,RTÉ.R.na.G.uk,RTÉ R na G
uk,Discovery.HD.uk,Discovery HD
uk,SportyStuff.HD.uk,SportyStuff HD
uk,SkySpMainEvHD.uk,SkySpMainEvHD
uk,Ayozat.TV.uk,Ayozat TV
uk,babes.and.brazzers.uk,babes and brazzers
uk,Cruise1st.tv.uk,Cruise1st.tv
uk,Boomerang+1.uk,Boomerang+1
uk,High.Street.TV.1.uk,High Street TV 1
uk,London.Live.uk,London Live
uk,U.and.Eden.uk,U and Eden
uk,Jazz.FM.uk,Jazz FM
uk,More.Radio.Mid.Sussex.uk,More Radio Mid Sussex
uk,U.and.Drama.+1.uk,U and Drama +1
uk,Heart.Sussex.uk,Heart Sussex
uk,Sky.Greats.uk,Sky Greats
uk,Disney.Jr.HD.uk,Disney Jr HD
uk,Nat.Geo+1.uk,Nat Geo+1
uk,Nat.Geo.Wild.uk,Nat Geo Wild
uk,SkyValentineHD.uk,SkyValentineHD
uk,SkySp.Racing.uk,SkySp Racing
uk,ARY.Digital.uk,ARY Digital
uk,COLORS.HD.uk,COLORS HD
uk,5SELECT.uk,5SELECT
uk,Food.Netwrk+1.uk,Food Netwrk+1
uk,Ideal.World.HD.uk,Ideal World HD
uk,Quest.Red.uk,Quest Red
uk,Discovery+1.uk,Discovery+1
uk,RTÉ.2FM.uk,RTÉ 2FM
uk,EasterEpicsHD.uk,EasterEpicsHD
uk,ColorsRishtey.uk,ColorsRishtey
uk,NEO.News.uk,NEO News
uk,Boomerang.HD.uk,Boomerang HD
uk,Radio.X.uk,Radio X
uk,Absolute.uk,Absolute
